,player_name,position,team,points_this_week,predicted_points,value,GW
0,Mark Flekken,GK,Brentford,6,5.562430506596361,4.5,10
1,Ederson Santana de Moraes,GK,Man City,7,5.257736930242091,5.5,10
2,Alisson Ramses Becker,GK,Liverpool,7,5.087811419911128,5.5,10
3,Jordan Pickford,GK,Everton,5,5.0177639230061715,4.4,10
4,David Raya Martin,GK,Arsenal,6,4.942408137288026,4.8,10
5,Alphonse Areola,GK,West Ham,3,3.577333701403668,4.2,10
6,Guglielmo Vicario,GK,Spurs,3,3.4241020143000296,5.2,10
7,Bernd Leno,GK,Fulham,3,2.6184299540372216,4.7,10
8,Nick Pope,GK,Newcastle,2,2.6056564660955877,5.5,10
9,Robert Sánchez,GK,Chelsea,2,2.3715564539956784,4.6,10
10,André Onana,GK,Man Utd,2,2.0055776626554915,4.8,10
11,James Trafford,GK,Burnley,2,1.9419360553712255,4.5,10
12,Thomas Kaminski,GK,Luton,2,1.6558672415644824,4.5,10
13,Matt Turner,GK,Nott'm Forest,2,1.603141743963887,4.1,10
14,Sam Johnstone,GK,Crystal Palace,1,1.274844929901519,4.5,10
15,José Malheiro de Sá,GK,Wolves,1,0.9640539865907476,5.0,10
16,Bart Verbruggen,GK,Brighton,0,0.8243823396742359,4.4,10
17,Wes Foderingham,GK,Sheffield Utd,0,0.6972524193004074,4.5,10
18,Jason Steele,GK,Brighton,3,0.6446886959261154,4.3,10
19,Aaron Ramsdale,GK,Arsenal,0,0.627243231385624,4.8,10
20,Mark Gillespie,GK,Newcastle,0,0.4572825676964475,3.9,10
21,Tom Heaton,GK,Man Utd,0,0.393348547329819,4.0,10
22,Jordan Amissah,GK,Sheffield Utd,0,0.3866501003862677,3.9,10
23,Loris Karius,GK,Newcastle,0,0.3835793520334202,3.9,10
24,Stefan Ortega Moreno,GK,Man City,0,0.3473924096890975,3.9,10
25,Norberto Murara Neto,GK,Bournemouth,0,0.3175507386084186,4.5,10
26,João Neves Virgínia,GK,Everton,0,0.3098245042548623,3.9,10
27,Odysseas Vlachodimos,GK,Nott'm Forest,0,0.2525041424230604,4.5,10
28,Martin Dubravka,GK,Newcastle,0,0.2500324404498765,3.9,10
29,Emiliano Martínez Romero,GK,Aston Villa,0,0.2418640067752926,4.9,10
30,Thomas Strakosha,GK,Brentford,0,0.2041078989964997,3.9,10
31,Fraser Forster,GK,Spurs,0,0.1982360643250371,3.9,10
32,Altay Bayindir,GK,Man Utd,0,0.1872740855191653,4.0,10
33,Ionuț Radu,GK,Bournemouth,3,0.180442574611163,4.4,10
34,Djordje Petrovic,GK,Chelsea,0,0.1646373990498791,4.5,10
35,Dean Henderson,GK,Crystal Palace,0,0.1270405794941734,4.5,10
36,Tim Krul,GK,Luton,0,0.1235272587744282,4.5,10
37,Lukasz Fabianski,GK,West Ham,0,0.0961632686630405,4.3,10
38,Radek Vítek,GK,Man Utd,0,0.0778861484166814,4.0,10
39,Scott Carson,GK,Man City,0,0.0729655953221854,3.9,10
40,Ethan Horvath,GK,Nott'm Forest,0,0.0628367480165358,4.4,10
41,Andy Lonergan,GK,Everton,0,0.0618351220795727,4.0,10
42,Oliwier Zych,GK,Aston Villa,0,0.055327817683919,4.0,10
43,Darren Randolph,GK,Bournemouth,0,0.0451108730783004,4.0,10
44,Arijanet Muric,GK,Burnley,0,0.0291279435316118,4.3,10
45,Adam Davies,GK,Sheffield Utd,0,0.0272143227975904,4.0,10
46,James Shea,GK,Luton,0,0.0230072168355488,4.4,10
47,Hugo Lloris,GK,Spurs,0,0.0211336475673031,4.8,10
48,Filip Marschall,GK,Aston Villa,0,0.0209422030686426,4.0,10
49,Daniel Bentley,GK,Wolves,0,0.0178476941710521,3.9,10
50,Kepa Arrizabalaga,GK,Chelsea,0,0.0111442756014084,5.0,10
51,Bailey Peacock-Farrell,GK,Burnley,0,0.0060947226468571,4.0,10
52,Zack Steffen,GK,Man City,0,0.0052108775584038,3.9,10
53,Rúnar Alex Rúnarsson,GK,Arsenal,0,0.0033363517093193,4.0,10
54,Eddie Beach,GK,Chelsea,0,0.0029985524792426,4.0,10
55,Matija Šarkić,GK,Wolves,0,0.0026019415904509,4.0,10
56,Wayne Hennessey,GK,Nott'm Forest,0,0.000475460249486,4.0,10
57,Lawrence Vigouroux,GK,Burnley,0,0.000475460249486,4.0,10
58,Remi Matthews,GK,Crystal Palace,0,0.000475460249486,4.0,10
59,George Shelvey,GK,Nott'm Forest,0,0.000475460249486,4.0,10
60,Marcus Bettinelli,GK,Chelsea,0,-0.0032276779929923,4.0,10
61,Karl Darlow,GK,Newcastle,0,-0.0032276779929923,4.0,10
62,Jack Walton,GK,Luton,0,-0.0032276779929923,4.0,10
63,Matthew Cox,GK,Brentford,0,-0.0032276779929923,4.0,10
64,Mark Travers,GK,Bournemouth,0,-0.0032276779929923,4.0,10
65,Viljami Sinisalo,GK,Aston Villa,0,-0.0032276779929923,4.0,10
66,Gabriel Słonina,GK,Chelsea,0,-0.0032276779929923,4.0,10
67,Brandon Austin,GK,Spurs,0,-0.005540787981739,3.9,10
68,Kjell Scherpen,GK,Brighton,0,-0.0083682350355315,4.0,10
69,Alfie Whiteman,GK,Spurs,0,-0.0088469403903634,3.9,10
70,Ellery Balcombe,GK,Brentford,0,-0.0088469403903634,4.0,10
71,Lucas Bergström,GK,Chelsea,0,-0.0106813450242781,4.0,10
72,Marek Rodák,GK,Fulham,0,-0.0119093670716773,3.9,10
73,Adrián San Miguel del Castillo,GK,Liverpool,0,-0.0123062696628318,4.0,10
74,Caoimhin Kelleher,GK,Liverpool,0,-0.0123062696628318,3.9,10
75,Tom King,GK,Wolves,0,-0.0135393182428043,4.0,10
76,Robin Olsen,GK,Aston Villa,0,-0.0192892198938192,4.0,10
77,Karl Hein,GK,Arsenal,0,-0.0209208956312043,4.0,10
78,Steven Benda,GK,Fulham,0,-0.0209208956312043,4.0,10
79,Joseph Anang,GK,West Ham,0,-0.027484925333516,4.0,10
80,Matt Macey,GK,Luton,0,-0.0313552674689032,4.0,10
81,Denis Franchi,GK,Burnley,0,-0.0350554106517001,3.9,10
82,Vicente Guaita,GK,Crystal Palace,0,-0.0351185630735706,4.4,10
83,Tom McGill,GK,Brighton,0,-0.036636839266295,3.9,10
84,Joe Whitworth,GK,Crystal Palace,0,-0.0929730712495751,4.0,10
85,Ethan Pinnock,DEF,Brentford,15,9.383794547072975,4.5,10
86,Oleksandr Zinchenko,DEF,Arsenal,8,6.812010044987034,4.9,10
87,William Saliba,DEF,Arsenal,7,6.797302744145403,5.2,10
88,Benjamin White,DEF,Arsenal,6,5.26442088809712,5.6,10
89,James Tarkowski,DEF,Everton,6,4.880003652362142,4.5,10
90,Trent Alexander-Arnold,DEF,Liverpool,5,4.606136174105889,7.9,10
91,Takehiro Tomiyasu,DEF,Arsenal,7,4.532496154664484,4.5,10
92,Nathan Collins,DEF,Brentford,6,4.483656265267224,4.5,10
93,Konstantinos Tsimikas,DEF,Liverpool,6,4.464970269029325,4.5,10
94,Jarrad Branthwaite,DEF,Everton,8,4.326306735898929,4.0,10
95,Ibrahima Konaté,DEF,Liverpool,6,4.245832316807476,4.9,10
96,Matty Cash,DEF,Aston Villa,5,3.9821772398668855,5.1,10
97,Rúben Gato Alves Dias,DEF,Man City,6,3.798471202287169,5.5,10
98,Fabian Schär,DEF,Newcastle,5,3.737258114833489,5.2,10
99,Mads Roerslev Rasmussen,DEF,Brentford,6,3.5103604211798025,4.4,10
100,Vladimír Coufal,DEF,West Ham,2,3.298492938143676,4.6,10
101,Cristian Romero,DEF,Spurs,4,3.22365259643519,4.9,10
102,Joško Gvardiol,DEF,Man City,6,2.986189879419374,5.0,10
103,Joachim Andersen,DEF,Crystal Palace,3,2.985580434153461,4.9,10
104,Toti António Gomes,DEF,Wolves,4,2.884078100124108,4.4,10
105,Diogo Dalot Teixeira,DEF,Man Utd,1,2.845497629494121,4.9,10
106,Illia Zabarnyi,DEF,Bournemouth,2,2.784253959488237,4.5,10
107,Aaron Hickey,DEF,Brentford,6,2.7588971942978335,4.5,10
108,Pau Torres,DEF,Aston Villa,2,2.7389469747518316,4.5,10
109,Kieran Trippier,DEF,Newcastle,0,2.6815764629787764,7.0,10
110,Milos Kerkez,DEF,Bournemouth,1,2.565240209407653,4.5,10
111,Lucas Digne,DEF,Aston Villa,2,2.5106742979055947,4.7,10
112,Marc Cucurella Saseta,DEF,Chelsea,2,2.4816538126369343,4.8,10
113,Dara O'Shea,DEF,Burnley,5,2.474815534392469,4.4,10
114,Kyle Walker,DEF,Man City,8,2.4599156863985976,5.3,10
115,Virgil van Dijk,DEF,Liverpool,8,2.3174488806295503,6.0,10
116,Matt Doherty,DEF,Wolves,0,2.312828129226163,4.3,10
117,Max Kilman,DEF,Wolves,1,2.235964290300899,4.5,10
118,Thiago Emiliano da Silva,DEF,Chelsea,1,2.1733645446475847,5.0,10
119,Kristoffer Ajer,DEF,Brentford,7,2.1584581552996136,4.5,10
120,Ezri Konsa Ngoyo,DEF,Aston Villa,2,2.1520740355831727,4.5,10
121,Antonee Robinson,DEF,Fulham,1,2.142702800395395,4.5,10
122,Lloyd Kelly,DEF,Bournemouth,2,2.1223042072843756,4.5,10
123,Timothy Castagne,DEF,Fulham,2,2.114621884130173,4.5,10
124,Pedro Porro,DEF,Spurs,2,2.097140951836306,5.2,10
125,John Stones,DEF,Man City,6,2.0841720085356688,5.3,10
126,Rayan Aït-Nouri,DEF,Wolves,0,2.073149971631837,4.5,10
127,Gabriel dos Santos Magalhães,DEF,Arsenal,0,2.054044402686508,4.7,10
128,Igor Julio dos Santos de Paulo,DEF,Brighton,2,2.043200266100437,4.3,10
129,Nathan Patterson,DEF,Everton,6,2.0355129603982767,4.4,10
130,Tyrick Mitchell,DEF,Crystal Palace,1,1.988215673092962,4.5,10
131,Jan Paul van Hecke,DEF,Brighton,0,1.9632089848786352,4.0,10
132,Micky van de Ven,DEF,Spurs,2,1.9360346099193673,4.6,10
133,Vitalii Mykolenko,DEF,Everton,8,1.880770444705006,4.3,10
134,Joel Matip,DEF,Liverpool,0,1.8790533396116584,4.9,10
135,Murillo Santiago Costa dos Santos,DEF,Nott'm Forest,1,1.8601512722340787,4.5,10
136,Tim Ream,DEF,Fulham,2,1.8299076718151557,4.5,10
137,Joël Veltman,DEF,Brighton,1,1.8129891423513311,4.4,10
138,Max Aarons,DEF,Bournemouth,2,1.7789677857609227,4.5,10
139,Nathan Aké,DEF,Man City,0,1.7758922204517222,5.1,10
140,Charlie Taylor,DEF,Burnley,6,1.7484605961079256,3.9,10
141,Joe Gomez,DEF,Liverpool,1,1.721424654801861,4.5,10
142,Jamaal Lascelles,DEF,Newcastle,0,1.6799030281083702,4.0,10
143,Kurt Zouma,DEF,West Ham,2,1.622090860029331,4.5,10
144,Calvin Bassey,DEF,Fulham,2,1.6110702360979714,4.4,10
145,Lewis Dunk,DEF,Brighton,2,1.607314507154758,5.0,10
146,Tom Lockyer,DEF,Luton,-1,1.5129621205454309,4.3,10
147,Andrew Robertson,DEF,Liverpool,0,1.4789956106067548,6.5,10
148,Harry Maguire,DEF,Man Utd,1,1.3653539067102671,4.2,10
149,Victor Lindelöf,DEF,Man Utd,1,1.3609706734306135,4.5,10
150,Manuel Akanji,DEF,Man City,0,1.3168538634322526,5.0,10
151,Joe Worrall,DEF,Nott'm Forest,0,1.278629365645171,4.5,10
152,Ashley Young,DEF,Everton,0,1.2701356102711951,4.4,10
153,Emerson Palmieri dos Santos,DEF,West Ham,0,1.2102670628768972,4.5,10
154,Nayef Aguerd,DEF,West Ham,2,1.208306416619176,4.5,10
155,Serge Aurier,DEF,Nott'm Forest,1,1.1888993926548492,4.5,10
156,Nélson Cabral Semedo,DEF,Wolves,1,1.1779218078630729,4.5,10
157,Diego Carlos Santos Silva,DEF,Aston Villa,1,1.1625367408654228,4.4,10
158,Olu Aina,DEF,Nott'm Forest,1,1.134423662858186,4.5,10
159,Jack Robinson,DEF,Sheffield Utd,0,1.1298294137887002,4.4,10
160,Axel Disasi,DEF,Chelsea,2,1.1239243912790609,5.1,10
161,Malo Gusto,DEF,Chelsea,0,1.121122066190452,4.2,10
162,Marc Guéhi,DEF,Crystal Palace,1,1.105487042213024,4.5,10
163,Adam Smith,DEF,Bournemouth,1,1.0840474883019016,4.4,10
164,Emerson Leite de Souza Junior,DEF,Spurs,1,1.0784516223463787,4.4,10
165,Harry Toffolo,DEF,Nott'm Forest,1,1.0307961059156452,4.4,10
166,Jonny Evans,DEF,Man Utd,1,1.0199836453712017,4.0,10
167,Gonzalo Montiel,DEF,Nott'm Forest,0,1.0145438999224614,4.5,10
168,Victor da Silva,DEF,Burnley,1,1.006168339716398,4.4,10
169,Luke Thomas,DEF,Sheffield Utd,0,0.995849845696092,4.0,10
170,Michael Keane,DEF,Everton,0,0.985764616413756,4.3,10
171,Reece James,DEF,Chelsea,1,0.9634174917108232,5.3,10
172,Levi Colwill,DEF,Chelsea,1,0.9515910260479666,4.6,10
173,Willy Boly,DEF,Nott'm Forest,1,0.9171182611348742,4.5,10
174,Rico Lewis,DEF,Man City,0,0.90141968650513,4.3,10
175,Alfie Doughty,DEF,Luton,0,0.8956876899535822,4.4,10
176,Nathaniel Clyne,DEF,Crystal Palace,1,0.8942970789222491,4.4,10
177,Tino Livramento,DEF,Newcastle,0,0.8915698399973332,4.4,10
178,Teden Mengi,DEF,Luton,1,0.8865772495109766,3.9,10
179,Craig Dawson,DEF,Wolves,1,0.8744943367321032,4.5,10
180,Marcos Senesi,DEF,Bournemouth,0,0.865822960940743,4.4,10
181,Reece Burke,DEF,Luton,0,0.8100677108786519,4.0,10
182,Dan Burn,DEF,Newcastle,0,0.7808228923077564,4.7,10
183,Connor Roberts,DEF,Burnley,0,0.7763539978565064,4.4,10
184,Chris Richards,DEF,Crystal Palace,0,0.7445909821199276,3.9,10
185,Issa Diop,DEF,Fulham,0,0.6684239579510134,4.5,10
186,Adam Webster,DEF,Brighton,2,0.649604892476852,4.3,10
187,Hannes Delcroix,DEF,Burnley,0,0.6460495086443064,4.0,10
188,Jakub Kiwior,DEF,Arsenal,6,0.6234620124690674,4.3,10
189,George Baldock,DEF,Sheffield Utd,0,0.608910581195824,3.9,10
190,Joel Ward,DEF,Crystal Palace,-1,0.6052661064205496,4.5,10
191,Ben Davies,DEF,Spurs,1,0.5620054841620511,4.3,10
192,Jayden Bogle,DEF,Sheffield Utd,0,0.5362941173246735,4.5,10
193,Neco Williams,DEF,Nott'm Forest,1,0.5150350704423149,4.3,10
194,Raphaël Varane,DEF,Man Utd,0,0.5139361183818322,5.0,10
195,Sergio Reguilón,DEF,Man Utd,1,0.5080187445504141,4.4,10
196,Matt Targett,DEF,Newcastle,0,0.4689791640411478,4.3,10
197,Chris Basham,DEF,Sheffield Utd,0,0.465713709400442,4.0,10
198,Jonathan Castro Otto,DEF,Wolves,0,0.446538242527052,4.4,10
199,Mads Juel Andersen,DEF,Luton,0,0.4376312311670818,4.0,10
200,Hugo Bueno López,DEF,Wolves,0,0.4051045960214757,4.4,10
201,Ben Chilwell,DEF,Chelsea,0,0.4037580454279006,5.4,10
202,Lisandro Martínez,DEF,Man Utd,0,0.3988402998858939,4.7,10
203,Yasser Larouci,DEF,Sheffield Utd,0,0.3958845938825966,4.4,10
204,Felipe Augusto de Almeida Monteiro,DEF,Nott'm Forest,0,0.3836623045583858,4.4,10
205,Destiny Udogie,DEF,Spurs,0,0.379761214297529,4.9,10
206,Moussa Niakhaté,DEF,Nott'm Forest,1,0.374311149458227,4.5,10
207,Anel Ahmedhodžić,DEF,Sheffield Utd,0,0.3657439947218938,4.3,10
208,Ivan Perišić,DEF,Spurs,0,0.3497016722495694,4.8,10
209,John Egan,DEF,Sheffield Utd,0,0.3111044602188284,4.4,10
210,Ameen Al-Dakhil,DEF,Burnley,0,0.2922536011220774,4.0,10
211,Gabriel Osho,DEF,Luton,0,0.2561360158341722,4.4,10
212,Luke Shaw,DEF,Man Utd,0,0.2509375694818722,5.2,10
213,Sergio Gómez,DEF,Man City,0,0.2466374093003506,3.9,10
214,Benoît Badiashile,DEF,Chelsea,0,0.2281394728012527,4.4,10
215,Santiago Bueno,DEF,Wolves,0,0.227706587897178,4.5,10
216,Konstantinos Mavropanos,DEF,West Ham,0,0.2193440622158798,4.5,10
217,Scott McKenna,DEF,Nott'm Forest,0,0.2052841545363515,4.5,10
218,Andrew Omobamidele,DEF,Nott'm Forest,0,0.198266623054911,4.5,10
219,Jarell Quansah,DEF,Liverpool,0,0.1919000814906173,4.0,10
220,Rob Holding,DEF,Crystal Palace,0,0.1870200910072916,4.4,10
221,Aaron Wan-Bissaka,DEF,Man Utd,0,0.1764905975913079,4.4,10
222,Lewis Hall,DEF,Newcastle,0,0.1653302007406427,4.4,10
223,Ryan Giles,DEF,Luton,1,0.1592146125487328,4.4,10
224,Jordan Beyer,DEF,Burnley,0,0.1540493956794313,4.0,10
225,Ben Johnson,DEF,West Ham,0,0.1513393770055993,4.4,10
226,Angelo Ogbonna,DEF,West Ham,0,0.1392114348513977,4.4,10
227,Thilo Kehrer,DEF,West Ham,0,0.1388125108727659,4.3,10
228,Fodé Ballo-Touré,DEF,Fulham,0,0.1383769365778403,4.5,10
229,Kenny Tete,DEF,Fulham,0,0.1339099418822161,4.4,10
230,Tyrone Mings,DEF,Aston Villa,0,0.1322615807439467,4.2,10
231,Nuno Varela Tavares,DEF,Nott'm Forest,0,0.1288783538056081,4.0,10
232,Aaron Cresswell,DEF,West Ham,2,0.1243312037910363,4.2,10
233,Rico Henry,DEF,Brentford,0,0.1203400425752307,4.4,10
234,Cédric Alves Soares,DEF,Arsenal,0,0.1112334814305875,3.9,10
235,Eric Dier,DEF,Spurs,0,0.100225007724864,4.2,10
236,Max Lowe,DEF,Sheffield Utd,0,0.0909974023798903,4.4,10
237,Chris Mepham,DEF,Bournemouth,2,0.090040980070755,4.3,10
238,Emil Krafth,DEF,Newcastle,0,0.0879466054735014,4.4,10
239,Femi Seriki,DEF,Sheffield Utd,0,0.0860712258151188,4.0,10
240,Alexandre Moreno Lopera,DEF,Aston Villa,0,0.0809724160065484,5.0,10
241,Luke Chambers,DEF,Liverpool,0,0.0803339751402956,4.0,10
242,Aymeric Laporte,DEF,Man City,0,0.0762371856279251,4.9,10
243,Josh Brooking,DEF,Chelsea,0,0.0754907459179917,4.0,10
244,Callum Scanlon,DEF,Liverpool,0,0.0685949566882669,4.0,10
245,James Tomkins,DEF,Crystal Palace,0,0.0634980094804669,4.0,10
